source_field,target_field,match_type,order
4F_PARK_1BR_COND_ALT,,Remove,
4F_PARK_2BR_COND_ALT,,Remove,
4F_RSET_COND_ALT,,Remove,
4F_SSET_COND_ALT,,Remove,
4F_STORIES_COND_ALT,,Remove,
5F Affordable Housing Only,,Remove,
5F Allowance,,Remove,
5F Connection to Sewage/Water Required,,Remove,
5F Elderly Housing Only,,Remove,
5F Floor to Area Ratio,,Remove,
5F Front Setback,,Remove,
5F Frontage,,Remove,
5F Max  Lot Impervious Coverage,,Remove,
5F Max Bedrooms,,Remove,
5F Max Density,,Remove,
5F Max Height,,Remove,
5F Max Lot Building Coverage,,Remove,
5F Max Stories,,Remove,
5F Max Units per Building,,Remove,
5F Min Lot Size,,Remove,
5F Min Parking Spaces per 1BR,,Remove,
5F Min Parking Spaces per mult BR,,Remove,
5F Min Unit Size,,Remove,
5F Proximity to Public Transit Required,,Remove,
5F Rear Setback,,Remove,
5F Side Setback,,Remove,
5F_AFF,,Remove,
5F_BEDROOMS,,Remove,
5F_CNXN_H2O,,Remove,
5F_CNXN_TRANSIT,,Remove,
5F_ELD,,Remove,
5F_FEET,,Remove,
5F_FRONT,,Remove,
5F_FSET,,Remove,
5F_FTA,,Remove,
5F_MAX_DENS,,Remove,
5F_MAX_LOT_BLDG,,Remove,
5F_MAX_LOT_IMP,,Remove,
5F_MAX_UNIT,,Remove,
5F_MIN_LOT,,Remove,
5F_MIN_UNIT,,Remove,
5F_PARK_1BR,,Remove,
5F_PARK_2BR,,Remove,
5F_RSET,,Remove,
5F_SSET,,Remove,
5F_STORIES,,Remove,
Acres,,Remove,
ADU_BEDROOMS_COND_ALT,,Remove,
ADU_EMP_REQD,,Remove,
ADU_MAX_PCT,,Remove,
ADU_MAX_PCT_COND_ALT,,Remove,
ADU_MAX_SIZE_COND_ALT,,Remove,
ADU_MIN_LOT_COND_ALT,,Remove,
ADU_PARK_COND_ALT,,Remove,
AFF_BEDROOMS,,Remove,
AFF_BEDROOMS_COND_ALT,,Remove,
AFF_CNXN_H2O,,Remove,
AFF_CNXN_TRANSIT,,Remove,
AFF_DEF,,Remove,
AFF_MAX_DENS_COND_ALT,,Remove,
AFF_MAX_UNIT_COND_ALT,,Remove,
AFF_MIN_LOT_COND_ALT,,Remove,
AFF_MIN_UNIT,,Remove,
AFF_MIN_UNIT_COND_ALT,,Remove,
AFF_PARK_1BR_COND_ALT,,Remove,
AFF_PARK_2BR_COND_ALT,,Remove,
Affordable Housing Definition,,Remove,
Affordable Housing Max Bedrooms,,Remove,
Affordable Housing Min Unit Size,,Remove,
Affordable_Housing_Definition,,Remove,
Affordable_Housing_Max_Bedrooms,,Remove,
Affordable_Housing_Min_Unit_Size,,Remove,
CONDITIONAL 1F Floor to Area Ratio,,Remove,
CONDITIONAL 1F Front Setback,,Remove,
CONDITIONAL 1F Frontage,,Remove,
CONDITIONAL 1F Max Height,,Remove,
CONDITIONAL 1F Max Lot Building Coverage,,Remove,
CONDITIONAL 1F Max Lot Impervious Coverage,,Remove,
CONDITIONAL 1F Max Stories,,Remove,
CONDITIONAL 1F Min Lot,,Remove,
CONDITIONAL 1F Min Parking Spaces,,Remove,
CONDITIONAL 1F Min Unit Size,,Remove,
CONDITIONAL 1F Rear Setback,,Remove,
CONDITIONAL 1F Side Setback,,Remove,
CONDITIONAL 2F Affordable Housing Only,,Remove,
CONDITIONAL 2F Elderly Housing Only,,Remove,
CONDITIONAL 2F Floor to Area Ratio,,Remove,
CONDITIONAL 2F Front Setback,,Remove,
CONDITIONAL 2F Frontage,,Remove,
CONDITIONAL 2F Max Density,,Remove,
CONDITIONAL 2F Max Height,,Remove,
CONDITIONAL 2F Max Lot Building Coverage,,Remove,
CONDITIONAL 2F Max Lot Impervious Coverage,,Remove,
CONDITIONAL 2F Max Stories,,Remove,
CONDITIONAL 2F Min Lot Size,,Remove,
CONDITIONAL 2F Min Parking Spaces per 1BR,,Remove,
CONDITIONAL 2F Min Parking Spaces per mult BR,,Remove,
CONDITIONAL 2F Min Unit Size,,Remove,
CONDITIONAL 2F Rear Setback,,Remove,
CONDITIONAL 2F Side Setback,,Remove,
CONDITIONAL 3F Affordable Housing Only,,Remove,
CONDITIONAL 3F Connection to Sewage/Water Required,,Remove,
CONDITIONAL 3F Elderly Housing Only,,Remove,
CONDITIONAL 3F Floor to Area Ratio,,Remove,
CONDITIONAL 3F Front Setback,,Remove,
CONDITIONAL 3F Frontage,,Remove,
CONDITIONAL 3F Max Bedrooms,,Remove,
CONDITIONAL 3F Max Density,,Remove,
CONDITIONAL 3F Max Height,,Remove,
CONDITIONAL 3F Max Lot Building Coverage,,Remove,
CONDITIONAL 3F Max Lot Impervious Coverage,,Remove,
CONDITIONAL 3F Max Stories,,Remove,
CONDITIONAL 3F Min Lot Size,,Remove,
CONDITIONAL 3F Min Parking Spaces per 1BR,,Remove,
CONDITIONAL 3F Min Parking Spaces per mult BR,,Remove,
CONDITIONAL 3F Min Unit Size,,Remove,
CONDITIONAL 3F Proximity to Public Transit Required,,Remove,
CONDITIONAL 3F Rear Setback,,Remove,
CONDITIONAL 3F Side Setback,,Remove,
CONDITIONAL 4F Affordable Housing Only,,Remove,
CONDITIONAL 4F Connection to Sewage/Water Required,,Remove,
CONDITIONAL 4F Elderly Housing Only,,Remove,
CONDITIONAL 4F Floor to Area Ratio,,Remove,
CONDITIONAL 4F Front Setback,,Remove,
CONDITIONAL 4F Frontage,,Remove,
CONDITIONAL 4F Max Bedrooms,,Remove,
CONDITIONAL 4F Max Density,,Remove,
CONDITIONAL 4F Max Height,,Remove,
CONDITIONAL 4F Max Lot Building Coverage,,Remove,
CONDITIONAL 4F Max Lot Impervious Coverage,,Remove,
CONDITIONAL 4F Max Stories,,Remove,
CONDITIONAL 4F Max Units per Building,,Remove,
CONDITIONAL 4F Min Lot Size,,Remove,
CONDITIONAL 4F Min Parking Spaces per  mult BR,,Remove,
CONDITIONAL 4F Min Parking Spaces per 1BR,,Remove,
CONDITIONAL 4F Min Unit Size,,Remove,
CONDITIONAL 4F Proximity to Public Transit Required,,Remove,
CONDITIONAL 4F Rear Setback,,Remove,
CONDITIONAL 4F Side Setback,,Remove,
CONDITIONAL 5F Connection to Sewage/Water Required,,Remove,
CONDITIONAL 5F Elderly Housing Only,,Remove,
CONDITIONAL 5F Floor to Area Ratio,,Remove,
CONDITIONAL 5F Front Setback,,Remove,
CONDITIONAL 5F Frontage,,Remove,
CONDITIONAL 5F Max  Lot Impervious Coverage,,Remove,
CONDITIONAL 5F Max Bedrooms,,Remove,
CONDITIONAL 5F Max Density,,Remove,
CONDITIONAL 5F Max Height,,Remove,
CONDITIONAL 5F Max Lot Building Coverage,,Remove,
CONDITIONAL 5F Max Stories,,Remove,
CONDITIONAL 5F Max Units per Building,,Remove,
CONDITIONAL 5F Min Lot Size,,Remove,
CONDITIONAL 5F Min Parking Spaces per 1BR,,Remove,
CONDITIONAL 5F Min Parking Spaces per mult BR,,Remove,
CONDITIONAL 5F Min Unit Size,,Remove,
CONDITIONAL 5F Proximity to Public Transit Required,,Remove,
CONDITIONAL 5F Rear Setback,,Remove,
CONDITIONAL 5F Side Setback,,Remove,
CONDITIONAL ADU Elderly Housing Only,,Remove,
CONDITIONAL ADU Employee or Family Occupancy Required,,Remove,
CONDITIONAL ADU Max Bedrooms,,Remove,
CONDITIONAL ADU Max Size as Percent of Primary Strcture,,Remove,
CONDITIONAL ADU Max Size in sq ft,,Remove,
CONDITIONAL ADU Min Lot Size,,Remove,
CONDITIONAL ADU Min Parking Spaces,,Remove,
CONDITIONAL ADU Owner Occupancy Required,,Remove,
CONDITIONAL ADU Renter Occupancy Prohibited,,Remove,
CONDITIONAL ADU Restricted to Primary Structure,,Remove,
CONDITIONAL Affordable Housing Definition,,Remove,
CONDITIONAL Affordable Housing Elderly Only,,Remove,
CONDITIONAL Affordable Housing Max Bedrooms,,Remove,
CONDITIONAL Affordable Housing Max Density,,Remove,
CONDITIONAL Affordable Housing Max Units per Building,,Remove,
CONDITIONAL Affordable Housing Min Lot Size,,Remove,
CONDITIONAL Affordable Housing Min Parking Spaces per 1BR,,Remove,
CONDITIONAL Affordable Housing Min Parking Spaces per mult BR,,Remove,
CONDITIONAL Affordable Housing Min Unit Size,,Remove,
CONDITIONAL PRD Max Density,,Remove,
CONDITIONAL PRD Max Units,,Remove,
CONDITIONAL PRD Min Lot Size,,Remove,
CONDITIONAL PRD Mobile or Manufactured Home Park,,Remove,
CONDITIONAL PUD Allowance,,Remove,
CONDITIONAL PUD Required with Subdivision,,Remove,
CONDITIONAL PUD Requires Land Conservation,,Remove,
CONDITIONAL PUD Threshold Number,,Remove,
CONDITIONAL_1F_Floor_to_Area_Ratio,,Remove,
CONDITIONAL_1F_Front_Setback,,Remove,
CONDITIONAL_1F_Frontage,,Remove,
CONDITIONAL_1F_Max_Height,,Remove,
CONDITIONAL_1F_Max_Lot_Building_Coverage,,Remove,
CONDITIONAL_1F_Max_Lot_Impervious_Coverage,,Remove,
CONDITIONAL_1F_Max_Stories,,Remove,
CONDITIONAL_1F_Min_Lot,,Remove,
CONDITIONAL_1F_Min_Parking_Spaces,,Remove,
CONDITIONAL_1F_Min_Unit_Size,,Remove,
CONDITIONAL_1F_Rear_Setback,,Remove,
CONDITIONAL_1F_Side_Setback,,Remove,
CONDITIONAL_2F_Affordable_Housing_Only,,Remove,
CONDITIONAL_2F_Elderly_Housing_Only,,Remove,
CONDITIONAL_2F_Floor_to_Area_Ratio,,Remove,
CONDITIONAL_2F_Front_Setback,,Remove,
CONDITIONAL_2F_Frontage,,Remove,
CONDITIONAL_2F_Max_Density,,Remove,
CONDITIONAL_2F_Max_Height,,Remove,
CONDITIONAL_2F_Max_Lot_Building_Coverage,,Remove,
CONDITIONAL_2F_Max_Lot_Impervious_Coverage,,Remove,
CONDITIONAL_2F_Max_Stories,,Remove,
CONDITIONAL_2F_Min_Lot_Size,,Remove,
CONDITIONAL_2F_Min_Parking_Spaces_per_1BR,,Remove,
CONDITIONAL_2F_Min_Parking_Spaces_per_mult_BR,,Remove,
CONDITIONAL_2F_Min_Unit_Size,,Remove,
CONDITIONAL_2F_Rear_Setback,,Remove,
CONDITIONAL_2F_Side_Setback,,Remove,
CONDITIONAL_3F_Affordable_Housing_Only,,Remove,
CONDITIONAL_3F_Connection_to_Sewage_Water_Required,,Remove,
CONDITIONAL_3F_Elderly_Housing_Only,,Remove,
CONDITIONAL_3F_Floor_to_Area_Ratio,,Remove,
CONDITIONAL_3F_Front_Setback,,Remove,
CONDITIONAL_3F_Frontage,,Remove,
CONDITIONAL_3F_Max_Bedrooms,,Remove,
CONDITIONAL_3F_Max_Density,,Remove,
CONDITIONAL_3F_Max_Height,,Remove,
CONDITIONAL_3F_Max_Lot_Building_Coverage,,Remove,
CONDITIONAL_3F_Max_Lot_Impervious_Coverage,,Remove,
CONDITIONAL_3F_Max_Stories,,Remove,
CONDITIONAL_3F_Min_Lot_Size,,Remove,
CONDITIONAL_3F_Min_Parking_Spaces_per_1BR,,Remove,
CONDITIONAL_3F_Min_Parking_Spaces_per_mult_BR,,Remove,
CONDITIONAL_3F_Min_Unit_Size,,Remove,
CONDITIONAL_3F_Proximity_to_Public_Transit_Required,,Remove,
CONDITIONAL_3F_Rear_Setback,,Remove,
CONDITIONAL_3F_Side_Setback,,Remove,
CONDITIONAL_4F_Affordable_Housing_Only,,Remove,
CONDITIONAL_4F_Connection_to_Sewage_Water_Required,,Remove,
CONDITIONAL_4F_Elderly_Housing_Only,,Remove,
CONDITIONAL_4F_Floor_to_Area_Ratio,,Remove,
CONDITIONAL_4F_Front_Setback,,Remove,
CONDITIONAL_4F_Frontage,,Remove,
CONDITIONAL_4F_Max_Bedrooms,,Remove,
CONDITIONAL_4F_Max_Density,,Remove,
CONDITIONAL_4F_Max_Height,,Remove,
CONDITIONAL_4F_Max_Lot_Building_Coverage,,Remove,
CONDITIONAL_4F_Max_Lot_Impervious_Coverage,,Remove,
CONDITIONAL_4F_Max_Stories,,Remove,
CONDITIONAL_4F_Max_Units_per_Building,,Remove,
CONDITIONAL_4F_Min_Lot_Size,,Remove,
CONDITIONAL_4F_Min_Parking_Spaces_per__mult_BR,,Remove,
CONDITIONAL_4F_Min_Parking_Spaces_per_1BR,,Remove,
CONDITIONAL_4F_Min_Unit_Size,,Remove,
CONDITIONAL_4F_Proximity_to_Public_Transit_Required,,Remove,
CONDITIONAL_4F_Rear_Setback,,Remove,
CONDITIONAL_4F_Side_Setback,,Remove,
CONDITIONAL_5F_Affordable_Housing_Only,,Remove,
CONDITIONAL_5F_Connection_to_Sewage_Water_Required,,Remove,
CONDITIONAL_5F_Elderly_Housing_Only,,Remove,
CONDITIONAL_5F_Floor_to_Area_Ratio,,Remove,
CONDITIONAL_5F_Front_Setback,,Remove,
CONDITIONAL_5F_Frontage,,Remove,
CONDITIONAL_5F_Max__Lot_Impervious_Coverage,,Remove,
CONDITIONAL_5F_Max_Bedrooms,,Remove,
CONDITIONAL_5F_Max_Density,,Remove,
CONDITIONAL_5F_Max_Height,,Remove,
CONDITIONAL_5F_Max_Lot_Building_Coverage,,Remove,
CONDITIONAL_5F_Max_Stories,,Remove,
CONDITIONAL_5F_Max_Units_per_Building,,Remove,
CONDITIONAL_5F_Min_Lot_Size,,Remove,
CONDITIONAL_5F_Min_Parking_Spaces_per_1BR,,Remove,
CONDITIONAL_5F_Min_Parking_Spaces_per_mult_BR,,Remove,
CONDITIONAL_5F_Min_Unit_Size,,Remove,
CONDITIONAL_5F_Proximity_to_Public_Transit_Required,,Remove,
CONDITIONAL_5F_Rear_Setback,,Remove,
CONDITIONAL_5F_Side_Setback,,Remove,
CONDITIONAL_ADU_Elderly_Housing_Only,,Remove,
CONDITIONAL_ADU_Employee_or_Family_Occupancy_Required,,Remove,
CONDITIONAL_ADU_Max_Bedrooms,,Remove,
CONDITIONAL_ADU_Max_Size_as_Percent_of_Primary_Strcture,,Remove,
CONDITIONAL_ADU_Max_Size_in_sq_ft,,Remove,
CONDITIONAL_ADU_Min_Lot_Size,,Remove,
CONDITIONAL_ADU_Min_Parking_Spaces,,Remove,
CONDITIONAL_ADU_Owner_Occupancy_Required,,Remove,
CONDITIONAL_ADU_Renter_Occupancy_Prohibited,,Remove,
CONDITIONAL_ADU_Restricted_to_Primary_Structure,,Remove,
CONDITIONAL_Affordable_Housing_Definition,,Remove,
CONDITIONAL_Affordable_Housing_Elderly_Only,,Remove,
CONDITIONAL_Affordable_Housing_Max_Bedrooms,,Remove,
CONDITIONAL_Affordable_Housing_Max_Density,,Remove,
CONDITIONAL_Affordable_Housing_Max_Units_per_Building,,Remove,
CONDITIONAL_Affordable_Housing_Min_Lot_Size,,Remove,
CONDITIONAL_Affordable_Housing_Min_Parking_Spaces_per_1BR,,Remove,
CONDITIONAL_Affordable_Housing_Min_Parking_Spaces_per_mult_BR,,Remove,
CONDITIONAL_Affordable_Housing_Min_Unit_Size,,Remove,
CONDITIONAL_PRD_Max_Density,,Remove,
CONDITIONAL_PRD_Max_Units,,Remove,
CONDITIONAL_PRD_Min_Lot_Size,,Remove,
CONDITIONAL_PRD_Mobile_or_Manufactured_Home_Park,,Remove,
CONDITIONAL_PUD_Allowance,,Remove,
CONDITIONAL_PUD_Required_with_Subdivision,,Remove,
CONDITIONAL_PUD_Requires_Land_Conservation,,Remove,
CONDITIONAL_PUD_Threshold_Number,,Remove,
Extinct District,,Remove,
Extinct_District,,Remove,
F1F_Floor_to_Area_Ratio,,Remove,
F1F_FSET_COND_ALT,,Remove,
F1F_FTA,,Remove,
F1F_FTA_COND_ALT,,Remove,
F1F_HEIGHT_COND_ALT,,Remove,
F1F_MAX_LOT_BLDG_COND_ALT,,Remove,
F1F_MAX_LOT_IMP_COND_ALT,,Remove,
F1F_MIN_LOT_COND_ALT,,Remove,
F1F_MIN_UNIT,,Remove,
F1F_MIN_UNIT_COND_ALT,,Remove,
F1F_Min_Unit_Size,,Remove,
F1F_PARK_COND_ALT,,Remove,
F1F_RSET_COND_ALT,,Remove,
F1F_SSET_COND_ALT,,Remove,
F1F_STORIES_COND_ALT,,Remove,
F2F_Floor_to_Area_Ratio,,Remove,
F2F_FSET_COND_ALT,,Remove,
F2F_FTA,,Remove,
F2F_FTA_COND_ALT,,Remove,
F2F_HEIGHT_COND_ALT,,Remove,
F2F_MAX_DENS_COND_ALT,,Remove,
F2F_MAX_LOT_BLDG_COND_ALT,,Remove,
F2F_MAX_LOT_IMP_COND_ALT,,Remove,
F2F_MIN_LOT_COND_ALT,,Remove,
F2F_MIN_UNIT,,Remove,
F2F_MIN_UNIT_COND_ALT,,Remove,
F2F_Min_Unit_Size,,Remove,
F2F_PARK_1BR_COND_ALT,,Remove,
F2F_PARK_2BR_COND_ALT,,Remove,
F2F_RSET_COND_ALT,,Remove,
F2F_SSET_COND_ALT,,Remove,
F2F_STORIES_COND_ALT,,Remove,
F3F_BEDROOMS,,Remove,
F3F_BEDROOMS_COND_ALT,,Remove,
F3F_CNXN_H2O,,Remove,
F3F_ELD,,Remove,
F3F_Floor_to_Area_Ratio,,Remove,
F3F_FSET_COND_ALT,,Remove,
F3F_FTA,,Remove,
F3F_FTA_COND_ALT,,Remove,
F3F_HEIGHT_COND_ALT,,Remove,
F3F_Max_Bedrooms,,Remove,
F3F_MAX_DENS_COND_ALT,,Remove,
F3F_MAX_LOT_BLDG_COND_ALT,,Remove,
F3F_MAX_LOT_IMP_COND_ALT,,Remove,
F3F_MIN_LOT_COND_ALT,,Remove,
F3F_MIN_UNIT,,Remove,
F3F_MIN_UNIT_COND_ALT,,Remove,
F3F_Min_Unit_Size,,Remove,
F3F_PARK_1BR_COND_ALT,,Remove,
F3F_PARK_2BR_COND_ALT,,Remove,
F3F_RSET_COND_ALT,,Remove,
F3F_SSET_COND_ALT,,Remove,
F3F_STORIES_COND_ALT,,Remove,
F4F_BEDROOMS,,Remove,
F4F_BEDROOMS_COND_ALT,,Remove,
F4F_CNXN_H2O,,Remove,
F4F_Floor_to_Area_Ratio,,Remove,
F4F_FSET_COND_ALT,,Remove,
F4F_FTA,,Remove,
F4F_FTA_COND_ALT,,Remove,
F4F_HEIGHT_COND_ALT,,Remove,
F4F_Max_Bedrooms,,Remove,
F4F_MAX_DENS_COND_ALT,,Remove,
F4F_MAX_LOT_BLDG_COND_ALT,,Remove,
F4F_MAX_LOT_IMP_COND_ALT,,Remove,
F4F_MAX_UNIT,,Remove,
F4F_MAX_UNIT_COND_ALT,,Remove,
F4F_Max_Units_per_Building,,Remove,
F4F_MIN_LOT_COND_ALT,,Remove,
F4F_MIN_UNIT,,Remove,
F4F_MIN_UNIT_COND_ALT,,Remove,
F4F_Min_Unit_Size,,Remove,
F4F_PARK_1BR_COND_ALT,,Remove,
F4F_PARK_2BR_COND_ALT,,Remove,
F4F_RSET_COND_ALT,,Remove,
F4F_SSET_COND_ALT,,Remove,
F4F_STORIES_COND_ALT,,Remove,
F5F_AFF,,Remove,
F5F_Affordable_Housing_Only,,Remove,
F5F_Allowance,,Remove,
F5F_BEDROOMS,,Remove,
F5F_CNXN_H2O,,Remove,
F5F_CNXN_TRANSIT,,Remove,
F5F_Connection_to_Sewage_Water_Required,,Remove,
F5F_ELD,,Remove,
F5F_Elderly_Housing_Only,,Remove,
F5F_FEET,,Remove,
F5F_Floor_to_Area_Ratio,,Remove,
F5F_FRONT,,Remove,
F5F_Front_Setback,,Remove,
F5F_Frontage,,Remove,
F5F_FSET,,Remove,
F5F_FTA,,Remove,
F5F_Max__Lot_Impervious_Coverage,,Remove,
F5F_Max_Bedrooms,,Remove,
F5F_MAX_DENS,,Remove,
F5F_Max_Density,,Remove,
F5F_Max_Height,,Remove,
F5F_MAX_LOT_BLDG,,Remove,
F5F_Max_Lot_Building_Coverage,,Remove,
F5F_MAX_LOT_IMP,,Remove,
F5F_Max_Stories,,Remove,
F5F_MAX_UNIT,,Remove,
F5F_Max_Units_per_Building,,Remove,
F5F_MIN_LOT,,Remove,
F5F_Min_Lot_Size,,Remove,
F5F_Min_Parking_Spaces_per_1BR,,Remove,
F5F_Min_Parking_Spaces_per_mult_BR,,Remove,
F5F_MIN_UNIT,,Remove,
F5F_Min_Unit_Size,,Remove,
F5F_PARK_1BR,,Remove,
F5F_PARK_2BR,,Remove,
F5F_Proximity_to_Public_Transit_Required,,Remove,
F5F_Rear_Setback,,Remove,
F5F_RSET,,Remove,
F5F_Side_Setback,,Remove,
F5F_SSET,,Remove,
F5F_STORIES,,Remove,
PARENT_JXTN,,Remove,
PRD_MAX_DENS_COND_ALT,,Remove,
PRD_MAX_UNIT_COND_ALT,,Remove,
PRD_MIN_LOT_COND_ALT,,Remove,
SPNOTES,,Remove,
CONDITIONAL 5F Affordable Housing Only,,Remove,
