source_field,target_field,match_type,order
2F Max Height,F2F_Max_Height,Replace,3.08
2F_HEIGHT,F2F_Max_Height,Replace,3.08
F2F_HEIGHT,F2F_Max_Height,Replace,3.08
F2F_Max_Height,F2F_Max_Height,Replace,3.08
2F Max Stories,F2F_Max_Stories,Replace,3.08
2F_STORIES,F2F_Max_Stories,Replace,3.08
F2F_Max_Stories,F2F_Max_Stories,Replace,3.08
F2F_STORIES,F2F_Max_Stories,Replace,3.08
2F Min Lot Size,F2F_Min_Lot_Size,Replace,3.09
2F_MIN_LOT,F2F_Min_Lot_Size,Replace,3.09
F2F_MIN_LOT,F2F_Min_Lot_Size,Replace,3.09
F2F_Min_Lot_Size,F2F_Min_Lot_Size,Replace,3.09
2F Max Lot Building Coverage,F2F_Max_Lot_Building_Coverage,Replace,3.10
2F_MAX_LOT_BLDG,F2F_Max_Lot_Building_Coverage,Replace,3.10
F2F_MAX_LOT_BLDG,F2F_Max_Lot_Building_Coverage,Replace,3.10
F2F_Max_Lot_Building_Coverage,F2F_Max_Lot_Building_Coverage,Replace,3.10
2F Max Lot Impervious Coverage,F2F_Max_Lot_Impervious_Coverage,Replace,3.11
2F_MAX_LOT_IMP,F2F_Max_Lot_Impervious_Coverage,Replace,3.11
F2F_MAX_LOT_IMP,F2F_Max_Lot_Impervious_Coverage,Replace,3.11
F2F_Max_Lot_Impervious_Coverage,F2F_Max_Lot_Impervious_Coverage,Replace,3.11
2F Min Parking Spaces per 1BR,F2F_Min_Parking_Spaces_per_1BR,Replace,3.12
2F_PARK_1BR,F2F_Min_Parking_Spaces_per_1BR,Replace,3.12
F2F_Min_Parking_Spaces_per_1BR,F2F_Min_Parking_Spaces_per_1BR,Replace,3.12
F2F_PARK_1BR,F2F_Min_Parking_Spaces_per_1BR,Replace,3.12
2F Min Parking Spaces per mult BR,F2F_Min_Parking_Spaces_per_mult_BR,Replace,3.13
2F_PARK_2BR,F2F_Min_Parking_Spaces_per_mult_BR,Replace,3.13
F2F_Min_Parking_Spaces_per_mult_BR,F2F_Min_Parking_Spaces_per_mult_BR,Replace,3.13
F2F_PARK_2BR,F2F_Min_Parking_Spaces_per_mult_BR,Replace,3.13
2F Elderly Housing Only,F2F_Elderly_Housing_Only,Replace,3.14
2F_ELD,F2F_Elderly_Housing_Only,Replace,3.14
F2F_ELD,F2F_Elderly_Housing_Only,Replace,3.14
F2F_Elderly_Housing_Only,F2F_Elderly_Housing_Only,Replace,3.14
